refined_roman_sentences
Tum kahan jaa rahe ho aaj kal?
"Mujhe bhook lagi hai, kuch khana hai."
"Yeh Allah mere murshid ko lambi umar dy aur un se meri mulaqat farma den, ameen."
"Qatil, squash se Hashim Khan ne aisa rishta qaiam kiya jo lazawaal bana, unhon ne zaati tour per aur phir unke khandanon ki farzandon ne is khail se aisa nata jora ki tareekh hi badal dali."
"I love this song more than the drama, this song took the drama to another level, love from Bangladesh."
"Really great sir, Allah bless you more and more, aap bohat acha kaam kar rahe hain aur log hamesha aapko negative bolenge because in logon ne kabhi kisi ke liye nahi kiya hoga."
"Punjab mein ground clear karwa ya, Sindh mein bhi, Balochistan mein bhi, aur ab yakatoot, laanat laanat."
"Yeh chotu ka motu se zyada acha role hota hai hamesha, aisa kyun qatil?"
"Pata nahi hum India se kyun apne aap ko milate hain, bhai India hum se aage hai kyunki unke paas Nawaz jaisa aur Shahbaz jaisa kutta nahi hai."
Ideas phainkay gaye aur chand mein se aik samne aaya.
Goof kar raha hoon beech mein.
"Nahi, unke bundon bhi aisi hain, moti moti, bas koi batata nahi."
"Meerab ne mere jaisa suit pehna hai, lols."
Jaldi se Shareef khandan ka ilaaj karwao.
"Medum, aap bohat khubsoorat ho."
Shukriya gift dene ke liye.
Kisi 100 index 279.04 points ki izafay ke baad 34726.51 points per band hua.
"Tum andhe bagto ko sachai samne hoti hue bhi dikhai nahi deti, ja dekh hi nahi chahte."
"Thori der wait karo, inshallah bhar jayega."
"To aa to sahi, dekh kya kya pilati hai."
"Jin ke paas paisa hai, unhen konsa kaam karna parta hai, agar sahi mein yeh kamyab hoti bhi nahi, theek tarike se, to yeh fame ko chhod kar logon ke liye karti, itna makeup shekup kar ke video banwa rahi hai, bhaar mein ja, aisi kamyabi waisi bhi fazool jis mein aqal aur shaoor chala jaye, apne deen islam ka pata na chale."
"Beshak Allah humein hidayat ata farmaye, ameen."
PTI Zindabad.
Bari hi ghatya aur zalim aurat hai Memoona.
Apna comments had parh kar check kar lo.
"Qateel sahab ki kitaab, Qatil, ghungroo toot gaye, qatil ko dhake chupe alfaaz mein Qateel aur Iqbal Bano ki dastaan e ishq samjha jata hai."
Tu kyun phass gayi kameeni.
"Khan Abdul Ghaffar Khan, Bacha Khan ke bade bhai Abdul Jabar Khan, Doctor Khan, England mein the, unhon ne Abdul Ghaffar Khan ko waheen bulaya, lekin walid sahab ne jaane nahi diya kyunki Doctor Khan sahab ne waheen mulazmat ikhteyar kar ke aik angraiz khatoon se shadi kar li thi aur un walida ka khayal tha ki bada beta to hath se gaya, ab chota beta bhi waheen jakar kisi angraiz larki se shadi karega aur waheen ka ho rahega."
"Wow, kamal kar diya Geo ne, kya drama, kya song, kya story, thanks Geo."
Naslon ke liye duniya akhirat ki khairon ki dua ki darkhawast hai.
An
"Imran Khan na manzoor, na manzoor, bilkul bhi manzoor nahi hai."
"Fazool ki doray hamaray paiso se, Allah karey dil ki doray he pe jaen inko."
"Koi haal nahi hai eda v, zara dekho kya ho raha hai."
"Qatil, us gandi harkat ki wajah se hum do mulko mein daraar par gayi, warna aaj bhi hum aik hotay."
Lekin us doran Rashid Minhas behosh ho chuke thay aur ghaddar Mutee ur Rehman 120 degree ki zawiye pe tayyarey ko Bharat ki taraf urhaey chala ja raha tha.
"Andar chale jao us ki qatil, andar chupa lo apni qatilana harkatein."
"Allah Farzana Ammi aapko ajar de, Ameen, hamesha khush rakhay."
"Kya haal kar diye raitar sahab, kuch khayal karein awam ka, zara dekho."
"Zindagi bari tough hai yaar, hum sab ke liye bohat mushkil hai."
"Sahi to hai, physical fitness zaruri hai, sehatmand rehna chahiye."
"Qudsia is so cute qatil, really ghareeb ho, koi gunah nahi hai, Allah maaf kare."
"Hazrat ki duaon ke liye iltija hai, duaon mein yaad rakhna."
"Thank you bol apni parents ko meri taraf se, unko salam kehna."
"Qatil, inho ne Mohammad Ali Jinnah his speeches and writing an ambassador of unity ki unwan se jo kitaab likhi thi, usi Quaid-e-Azam Mohammad Ali Jinnah ki awaleen sawanah umri samjha jata hai, jis mein 1912 se 1917 ki doran ki jane wali speeches aur writings ki hawale se Quaid-e-Azam ko zabardast khiraaj-e-tehseen paish kiya gaya."
"Achi tarah track pe training ki doran aap enjoy karti hain, bohat achi baat hai."
"Bekar collection qatil, breakup poetry ka title aur mothers day ki poetry, bekar hai."
"Larki ka voice bohat kharab hai, zara theek karo apni awaz ko."
"Astaghfaar qatil, ab yeh diet hai, kuch to sharam karo."
"Miss you ji Rafia, aapki bahut yaad aa rahi hai, kab aaoge, December 12, 2022, 11:43 PM, miss you."
"Bahut qatil khoob surat hai yar, dil pe lag gaya hai yar, wah kya baat hai."
"Allah salamati de Allama sahab ko, hamesha khush rakhe."
"Bhai, be-tukki baatein na karo, bhala woh media industry mein hain, no one's perfect and that is something which should be embraced, bhala woh phir models hon actors yeh koi aam insaan, they are humans in the end aur is tarah ki comments nihayati be-ikhlaqi hain, you could have just simply scrolled down if you didn't like seeing something rather than making sahi mean statements, and let's be honest aap jaisay hi fake beauty ko bhi promote kartay ho."
"Uncle, aunty ko meri taraf se bohat bohat shukriya kehna, unko salam dena."
"Lanat hai in behaya aur beghairat logon pe, yeh sirf fahashi chahtay hain, sharam karo."
"Qurbani ke janwar ko chand roz pehle palna afzal hai, ta ke us se muhabbat ho aur mehboob janwar ko qurban karne se sawab zyada milega, qatil."
"Makeup ko chor, is se cancer hota hai, zara bach ke rehna."
"Baar betho oon khotiyo, zara chup chap betho."
"Aye ummul khabais, baaz aa ja apni khabasat se, sharam karo."
"Us se zyada wapas bhi mil jaenge, na jeetne pe cancel, kyun waja?"
"Aur is jaise actors aur aa gaye to Pakistan ke dramas hit ho jaenge, achi baat hai."
"Haan, khair dimagh walay jo ho tum log, zara soch samajh ke baat karo."
1
"PMLN na kaha karo, dokha bazi, fareeb, jhoot aur ghulami jetaye ji yae kahna."
"Really mein, rula deta hai yeh song bohat acha hai."
"Galat baat hai, yeh bilkul bhi theek nahi hai yaar."
"White colour and red colour, so beautiful dress, blue bhi acha hai."
"Is ka moo chodnay ka dil karta hai, bohat ghatiya insan hai."
"Ban karo haram khor ko, inko koi haq nahi hai."
"Lakh di lanat hai, aise logon per jo desh ka naam badnam karte hain."
"Is bachi ki tabiyat achanak he bigar gayi thi, kya hua?"
"Bachay ko koi nahi janta ki wo andar se kaisa hai, tou apko kuch jaan laina chahiye phir pata chal jayega, aur baqi KPK ko kyun nahi dekhte tum log andhon, wahan ki awam se pocho kya bana unka, sindh walon se zayada pareshan hain, qatil."
"Yai qanoon ki baladasti dandy ki zor per kar rahay hain, u-turn masters jaisa leader, wesay supporters, lakh lanat in per."
"Phir bachon ne circuit uthaya aur pagal hogaye, qatil, yeh kya ho raha hai?"
"Yr sab dekha hai life mein, but mohabbat ki chot bohat buri hoti hai."
"Mohabbat karni hai tou Khuda se karo dosto, in mitti ke putlon se kabhi wafa nahi milti."
"Kaun kaun is name se pyar karta hai, Allah, Hazrat Muhammad (SAW)?"
"Allah Qandeel ko aur hamari sare larkon ko iffat o paak damani se malaa-maal karay, ameen."
"Youthiye is waqt full zaheni ghulam banay huay hain, youthiyo ko is waqt Imran Khan yeh keh de na mein Khuda hun, yeh log maan le ge."
"Jaldi batao, kya baat hai, mujhe intezar hai."
"Aise logon ko TV per promote karo, chahay sirf tiktoker nahi, yeh special protocol deserve kartay hain."
"Bohat badhiya hai, yeh sun kar acha laga."
"Wo keh raha hai 8 acres apke hain, p0 khuda khuda karo zalimo, yeh kya hai?"
"Aunty ne dil jeet liye, wah kya baat hai."
"Allah Ta'ala ummat pe reham farmaey aur yeh Lodhi jaise khabees logon ki shar se nai nasal ko apni hifazat mein rakhey, ameen."
"MashaAllah, Allah ki rehmat hai."
"Sharam karo kuch, yeh kya harkat hai?"
InshaAllah aik baar phir sher ayega.
"Saala kutta jhota, yeh kya baat hai?"
"Hamari aulaad nahi hai, shadi ko 8 saal ho gaye hain, hamari liye dua karein baba ji, agar hum apse mulaqaat karein tou address de dein."
"Lanti boot polish, yeh kya bakwas hai?"
"Malir chatai ground se 1 bachi ki lash baramad, qatil, yeh bohat dukh ki baat hai."
Jab army ke log kya kar rahe the?
"Aunty ne uncle ki dil ki baat kardi yaar, qatil, yeh kya hai?"
"Aap ghaddar ho, Imran begairat ka jo yaar hai, mulk ka ghaddar hai."
"Food panda Isra village Hyd mein work nahi karta, kya masla hai?"
"Allah kamyab kare, dua hai sab ke liye."
"Oh ja chaly ja bosdiky, yeh kya bakwas hai?"
Inke liye kuch kar nahi sakte tou Peer Urdu Point walay videos bhi na banayein.
"MashaAllah, nazar na lage, Allah hifazat kare."
"Haha, brave ka tou pata nahi, aaj kal real Khajal Rajput huwa wa aa."
"Meenu tuhi larki badi cool hai, pe yeh duniya fazool hai."
"Purana dor hota na tou in aurton ki sar kat diye jaate, dupata lete huay aur naqab kartay huay mout parti hai in"
"Bilkul hee kachra qisam ka necklace tha ye, halka sa paseena aanay kay baad is ka color hee ur gaya pura, bilkul hee na qabil-e-istimaal ban gaya ye, isay utha kay kachray mein phaink diye mainay to, bilkul hee bekaar tareen cheez hai ye."
"Hahaha, mein khush rehne ki saath khush rakhta hoon logon ko, qatil."
Allah pak rahat sahab ko jannat ata karey.
Allah karey jald aapki degree complete ho aur insha'Allah 2023 mein aap lodhran ki next meeting mein aaen ge.
Hum kab tak aisay logon ko vote detay rahay gay?
Yeh Hussain!
"Dono aik khuda nahi ho saktay, khuda tou aik hi hai aur woh hai Allah-u-Ta'ala."
"Emotional kar diye, sir aap nay."
"Sab drama hai, new game hai yeh."
Dil-o-jaan in pe qurban.
"Zeher lag rahay ho, akelay akelay videos bana li, humein bataya bhi nahi tum nay."
Is per kuch boliye.
Imran zana karne ki koshish mein tha.
"Koi ta'aluq nahi hai un ka, agar un ka nahi tou un kay aba ka bhi nahi, un ki biwi aur bachon ka ho sakta hai, un kay apnay bachon ka nahi."
"Wow, go yaar!"
Aap ka breakup ho gaya?
"Shershah Gulbai kay qareeb firing, 2 traffic police ahlkar zakhmi, qatil."
"Tou us say kya hoga, dora karo."
Tujh per aur teri kai din per lanat beshumaar.
Naak saaf kar lo apna.
"Saath rehne ko badaltay hain, best line, har roz sunta hoon."
Jahil!
"Wow Mashallah, bohat pyari lag rahi hai sab."
"Haha, becharay!"
Kabhi socha nahi tha Pakistan ko 75 saal say apni army aur establishment kahan rahe hongi.
"Mashallah, Allah pak aap ko himmat aur izzat day."
"Har kisi kay paas yeh hona chahiye, itni achi quality, very affordable price."
"London tou Imran Khan bhi ja raha hai, bachon say aur purani biwi say milnay."
"Kahan yaar, bura haal hai in sabiqon ka."
Chal jhooti!
"Chaal tou bari ghatia chali dushman nay, bhool gaya kay Allah behtareen chaal chalnay wala hai, insha'Allah Ta'ala."
Bijli tou already bohat mehngi hai.
"Begunah logon ko shaheed kiya, kya kasoor thay us becharon kay?"
"Bohat pyari, shughar aur seedhi larki hai yeh."
"Bakwas video, mujhay bhi bola gaya lunch time hai, kuch dair rukiyay."
"Ghurbat 30 saal pehlay say chal rahi hai, Imran Khan ki 3 saal ki hakoomat say 30 saal ki barbadi khatam nahi ho jaye gi, Pakistanis apna ghar nahi sambhal saktay aur nikal aatay hain PM ko batane ki mulk kaisay sambhaltay hain 200 million logon kay liye."
Bas Bollywood walay remix kar kay mitti palid na kar day gaane ki.
"Kuttay dy putr, price increase 30, qatil 30 rupay kar diye nay, ta kay decrease 5 rupay."
"Sab kuch khud kar kay sara propaganda kiya, ab daal Imran Khan pe raha hai, hypocrisy at its absolute peak, sara game tou khud khela hai govt nay."
"Ghair qanooni tor per deewar per chhapnay walon ka status chor aur daku ka hi hota hai, Karachi mein aisay cases report hue hain jis mein police ki wardi pehen kar chor ghar mein ghussay hain, un ko pakro jinhon nay yeh ghair qanooni hukam diye thay."
"Apni idhar aisi songs filmon mein nahi hoti, so sweet!"
"Abe bharwo, mulk chala lo, tum log kya kar rahe ho?"
"Dil kar raha hai is banday ki moonh pe jootay maroon, kitna safaid jhoot bol raha hai aur sharam bhi nahi aa rahi isko."
"Very, very good, uncle, aap ne achi baat ki hai."
"Bahut oily ho jata hai, isko theek karo."
"Ummat zinda lash ban gayi hai, hum sab apni bari ka intezaar kar rahe hain, afsos."
"Mashallah, mashallah, subhanallah, kya baat hai!"
"Wow wow, Pakistani songs ka to koi jawab hi nahi hai, so nice."
"Thy cap of milk, milk bottle jo sab se neechay hai, kahan hai?"
"Aur sis, aap ki mami abu ki paas European country mein hain, koi doctor hai? Ami ko jaa kar milo aur dilaasa do, in ko bhi aap ne Saudi le jana hai, us ke baad Scotland, lekin batana nahi."
"Bhai, main ne to yeh nahi bola ki kisi bhi check post par police pe hamla kar lo, pehle mera comment dhyan se parho. Woh police wala raat ki andhere mein ghar mein ghus raha tha, to us banday ko to shak hua ki kahin koi chor to nahi ghus aaya, to ura diye us ne, it's called self defence. Ja kar judges se panga le lo, kyun ki is law ko woh bhi follow karte hain."
"Qatil, daikha jaye to un ki poori zindagi hi jail ki chakkar katte hue guzar gayi, qatil."
"Kargil, Nawaz Shareef ne America ki kehne pe India ko diye."
"Lyari ki market, Salaar Compound aur atraaf mein Rangers ka search operation, bhari tadaad mein asleha baramad."
"Peela kar zeher, woh hans ke boli, qatil, tum ne kya kiya?"
"Larki ka voice bohat kharab hai, isko theek karo."
Duniya bhar mein maujood apni lakhon maddahon ki dilon ko khushiyon se ashina karne wale Jerry Lewis ko ab tak 2 baar heart attack ho chukka hai.
"Jahalat at its peak, yeh kya ho raha hai?"
"Har koi Qudsia ko blame kar raha hai, society ko blame kar hi nahi raha, koi, is wajah se to drama banaya gaya tha ki society mein rehne walon ko koi akl aaye, par log ulta usko hi blame kar rahe hain, yeh sab kuch woh inferiority complex ki wajah se kar rahe hain, jo ki aam ne hi trageeb kiya hai."
"Nawaz ko bhi idhar le aao, phir idhar udhar ki baat kar lain ge, kya khayal hai?"
"Oye chotu, tum to pyare hone ki saath saath bohat genius bhi ho, wah!"
"O jany do, meri ono sisters ki is se lambay hairs hain, kya karoon?"
"Pagal khusra, Ayezan Khan, uncle, larkiyon ke saath kya kar rahe ho?"
"Yeh to acha song hai, is pe itne dislikes kyun aa rahe hain, kya woh log Muslim nahi hain?"
"Filhal to teacher hi nazar nahi aa rahe, qatil, kahan gaye?"
"Randi da bacha, tum log kya kar rahe ho?"
"Ghateya security guard, tum log kya karte ho?"
"Bahut achay, tum ne achi baat ki hai."
"Yeh bhi theek hai, is mein koi shak nahi."
"Allah hum sab ko himmat aur ghairat de, ameen."
"Yeh leader hai, qatil, munh mein daant to sambhalay nahi jaate, mulk sambhalega yeh?"
General Zia-ul-Haq ki bari mein in ki mashhoor nizam ka aik shair kis tarah bahar aa gaya?
"Mein kidhar jaun, koi rasta batao?"
"Last dialogue ki chass aa gayi, qatil, kya baat hai!"
"Itni beizzati, yeh kya ho raha hai?"
"Masha Allah, buhat Allah huma huma pyare,"
"1987 mein Johnny Depp ko maqbool TV show 21 Jump Street mein kaam karne ka mauqa mila, jis ki bad kamiyabiyon ke darwazay un pe khulte chale gaye."
"Khalid ghareeb hai, acha nahi lag raha, suit nahi kar raha, isliye theek nahi hai."
"Wow, jee wow, yeh to kamaal hi ho gaya hai, wah wah!"
"Haqeeqat aati hai, aur humein usko accept karna chahiye."
"Louta hai woh gaddar, kutte, bikne walay, sharam karo!"
"Kya bawasir bana diye hain tumne, yeh kya kar rahe ho?"
"Yaar, kitna awesome banda hai, dil jeet liya isne!"
"Rajpal wale kaun si movie hai, zara mujhe bhi batao?"
"Galiyan nikalwana chahte ho mere moonh se, sharam karo!"
"Beharhaal, pichle dinon un ki Ranbir Kapoor se zabardast mashq ki khabrain garam theen aur shadi ki imkanat bhi zahir kiye ja rahe thay."
"I know all about Forever Living, yeh chutiya banate hain, 1 lakh do, phir aage banday add karo, woh bhi 1 lakh dein company ko, phir hamein us mein se 15 thousand shayad yeh ise kaam milta hai, per banda aapko itna mila karega, ab idhar sochnay wali baat hai, woh kaun sa business hai jo start ke liye hi 1 lakh de aur yeh khuwab aapko bohat baray baray dikhatay hain, phir kahna himmat nahi harni, yeh woh."
"InshaAllah, hum aap ke saath kharay hain, hum aapka saath denge."
"Niyat hi nahi hai invite karne ki to, phir kyun bolte ho?"
"Gaib ka ilm sirf Allah ki paas hai, iske siwa koi nahi jaanta."
"Dil se hai yeh song, dil ko chhoo gaya hai yeh gana."
"Pehle is game ko sahi karwao, phir baat karna."
"Oh jhoothy logo, kis hadees mein yeh likha hai, zara batao?"
"Kya yeh Pakistani serial hai, ya koi aur drama hai?"
"Ameen, sum aa ameen, Allah hum sab ki dua qubool kare."
"Mashallah, Allah tala ki qudrat, subhanAllah, kya baat hai!"
"Qatil bhai, is ki 5 branches hain, jab online gool gapay sale karega to is ki sale aur bhi barh jayegi, qatil job ka kya hai, woh aapko kise qatil bhi time job se nikaal sakta hai."
"Haye mere Allah, haha, yeh to bohat masoom hai, yeh jaan boojh kar karti hai."
Pakistani showbiz world mein Bushra Ansari se zayada bharpoor aur taweel career kisi ke hisse mein nahi aaya.
"Yeh Allah mere murshad ko zindagi aur akhirat ki barkatein naseeb farma, Ameen."
"MPA nahi, dalal hai, yeh to sab ko pata hai."
"Kitna dard liya hai is line ne, dil ko chhoo gaya hai."
"Sare puri yadein, aisa lagega jaise kuch hua hi nahi tha hamari saat life mein."
"Maut aa jaye lekin kisi pe dil na aaye, yeh kya baat hai."
"Lakh lanat hai aise logon par, sharam aani chahiye."
"Kuch nahi hota, sab feck hai, yeh sab jhoot hai."
Choro ko kaise pata chala is ghar mein bohat zayada maal hai?
"Jab Sonia Gandhi se pocha gaya ki woh kya cheez hai jo inhein barhe barhe uhday aur munasib chor dene ka hosla deti hai to in ki kahna tha, kuch logo pe dhan kamani ki dhunn sawaar hoti hai, baaz afraad sirf naam kamani ko hi apna dharam bana lete hain lekin mere nazdeek sab se ahem baat izzat kamana hai, baaz auqaat kisi uhday pe faiz ho kar woh izzat o takreem hasil nahi ki ja sakti, jo usi qurban kar dene ki siley mein milti hai."
Mein sha Allah
Qatil aaj kal aram se koi kaam nahi hota hai.
"Is beghairat ko offers kaun dega, koi bhi nahi."
"Allah ki naimaton mein se ek naimat hai, aur moka mila aur bach gaya yeh qatil."
"Bahut hi bakwas product hai, do din baad kharab ho gayi thi."
"Galat baat hai, mein ek civilized person hun."
"Acha, kya aap pakistan aye hain?"
"Bohat khoob, aapne achi baat ki hai."
"Mulk kahan, kahan ki mehel bana li hai tumne?"
"Dhokay baaz, gaddar, desh drohi."
